
NOTICE: Existing SQLite export found: E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite
        It is assumed file was previously exported from: E:\flux\profiling\runs\nsys-season-001-v1\trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_gb_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.1,1396886,80,17461.1,16334.5,12831,24734,4704.0,6144    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.1,1388307,1,1388307.0,1388307.0,1388307,1388307,0.0,262144    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
0.1,1387028,1,1387028.0,1387028.0,1387028,1387028,0.0,   2  512  256, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.1,1384788,2,692394.0,692394.0,689834,694954,3620.4,   1  256  512, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.1,1348247,1,1348247.0,1348247.0,1348247,1348247,0.0,262144    1    1, 256    1    1,"upscale_f32(const float *, float *, int, int, int, int, int, int, int, int, float, float, float, float)"
0.1,1287706,54,23846.4,23806.0,23294,24702,328.9, 512    1    1,1024    1    1,"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
0.1,1281276,1,1281276.0,1281276.0,1281276,1281276,0.0,262144    1    1, 256    1    1,"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,1202531,5,240506.2,240557.0,235662,244493,3714.3,32768    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,1193635,100,11936.4,11935.0,11519,12415,121.3,  72   64    1, 128    1    1,"void flash_attn_stream_k_fixup_general<(int)128, (int)64, (int)1>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.0,1133627,124,9142.2,5855.5,5695,168594,14913.8, 512    5    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
0.0,1126698,80,14083.7,13551.0,13215,23358,1553.5,  12  512    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,1102378,1,1102378.0,1102378.0,1102378,1102378,0.0,   2  256  256, 256    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.0,989297,27,36640.6,36605.0,35709,37693,601.7,19456    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
0.0,939989,10,93998.9,101000.0,62587,132821,22595.9,32768    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
0.0,919030,40,22975.8,23006.0,22494,23326,191.4, 512    1    1,1024    1    1,"void norm_f32<(int)1024>(const float *, float *, int, long long, long long, long long, float)"
0.0,891834,54,16515.4,16127.0,14399,19838,1916.3,5120    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,868862,20,43443.1,42397.0,41821,63867,4812.9,18432    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
0.0,839167,54,15540.1,15519.0,15167,15903,221.7,8192    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
0.0,832542,8,104067.8,103975.5,103384,105336,641.7, 128    1    1, 128    1    1,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_tn_align4>(T1::Params)
0.0,763393,27,28273.8,27934.0,27517,29150,631.6,16384    1    1,   1  256    1,"void rope_neox<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long long *, int)"
0.0,749666,41,18284.5,17310.0,16894,20350,1289.0,   1   16  512,  32    4    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,736390,1,736390.0,736390.0,736390,736390,0.0,   3  513  128, 256    1    1,"pad_f32(const float *, unsigned long long, unsigned long long, unsigned long long, unsigned long long, float *, int, int, int, int, int, int, int, int, int, int, int, int, bool)"
0.0,731592,4,182898.0,183250.0,181522,183570,942.8,30720    1    1, 256    1    1,"void concat_cont<unsigned int, (int)1>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
0.0,731170,113,6470.5,6463.0,6367,6655,56.6,  36    4    1,  32    4    1,"void mul_mat_q_stream_k_fixup<(ggml_type)12, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,729416,4,182354.0,140149.5,138901,310216,85247.5,9216    1    1, 256    1    1,"void mul_mat_vec_f<__nv_bfloat16, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,716872,9,79652.4,79290.0,77466,82745,1825.0,   1   64  512,  64    2    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,674092,1,674092.0,674092.0,674092,674092,0.0,131072    1    1, 256    1    1,"upscale_f32(const float *, float *, int, int, int, int, int, int, int, int, float, float, float, float)"
0.0,673004,2,336502.0,336502.0,331558,341446,6991.9,4096    1    1,1024    1    1,"void soft_max_f32<(bool)1, (int)4096, (int)1024, float>(const float *, const T4 *, const float *, float *, soft_max_params)"
0.0,660302,20,33015.1,32894.0,32317,33598,303.1,8192    1    1, 256    1    1,"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,659372,1,659372.0,659372.0,659372,659372,0.0,   1  256  512, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,655820,2,327910.0,327910.0,327590,328230,452.5,65536    1    1, 256    1    1,"scale_f32(const float *, float *, float, float, long long)"
0.0,596758,60,9946.0,6560.0,6400,17150,4873.7, 512    6    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
0.0,586611,4,146652.8,95144.5,94169,302153,103667.9,6144    1    1, 256    1    1,"void mul_mat_vec_f<__nv_bfloat16, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,533335,40,13333.4,13391.0,12671,13663,187.0,  12  512    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,499609,20,24980.5,24030.0,23358,40733,3735.6, 512   18    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
0.0,482681,27,17877.1,17918.0,17663,18079,130.4,   8  512    1, 256    1    1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
0.0,414911,4,103727.8,103735.5,103544,103896,164.1,24576    1    1, 256    1    1,"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,414880,1,414880.0,414880.0,414880,414880,0.0,   2  257  256, 256    1    1,"pad_f32(const float *, unsigned long long, unsigned long long, unsigned long long, unsigned long long, float *, int, int, int, int, int, int, int, int, int, int, int, int, bool)"
0.0,406178,4,101544.5,101672.5,101016,101817,359.1,24576    1    1, 256    1    1,"void convert_unary<__nv_bfloat16, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,402752,16,25172.0,25214.0,24062,25950,467.8, 512   19    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
0.0,397665,1,397665.0,397665.0,397665,397665,0.0,   8   64    1, 128    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_64x3_tn_align8>(T1::Params)
0.0,369312,40,9232.8,9135.5,6240,12927,2934.4,  36    4    1,  32    4    1,"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,364291,11,33117.4,33309.0,29438,34013,1261.7,8192    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,362885,21,17280.2,17151.0,16990,18175,311.5,   1   16  512,  32    4    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,288105,1,288105.0,288105.0,288105,288105,0.0,   1  512  512,  27    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.0,287594,1,287594.0,287594.0,287594,287594,0.0,   8   64    1, 256    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x256_32x3_tn_align2>(T1::Params)
0.0,287082,2,143541.0,143541.0,122519,164563,29729.6,   1  256  128, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,285674,19,15035.5,15007.0,14943,15167,84.0,8192    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
0.0,283786,4,70946.5,71706.5,65211,75162,4156.3,15360    1    1, 256    1    1,"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,275818,1,275818.0,275818.0,275818,275818,0.0,   1  256  256, 128    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.0,270699,11,24609.0,24510.0,23934,25278,386.7, 512   19    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
0.0,263403,4,65850.8,65867.0,65723,65946,93.9, 512   12    1, 128    1    1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align8>(T1::Params)
0.0,259660,4,64915.0,65051.0,64379,65179,377.2, 256    1    1, 128    1    1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align8>(T1::Params)
0.0,253836,1,253836.0,253836.0,253836,253836,0.0,  16   16    1, 128    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_64x3_tn_align8>(T1::Params)
0.0,238345,27,8827.6,8831.0,8735,9088,77.6, 512    8    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
0.0,237167,27,8784.0,8768.0,8383,9183,172.9,4096    1    1,   1  256    1,"void rope_neox<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long long *, int)"
0.0,216239,1,216239.0,216239.0,216239,216239,0.0,   1  129  512, 256    1    1,"pad_f32(const float *, unsigned long long, unsigned long long, unsigned long long, unsigned long long, float *, int, int, int, int, int, int, int, int, int, int, int, int, bool)"
0.0,195982,22,8908.3,8463.5,6399,12415,2508.4,  36    4    1,  32    4    1,"void mul_mat_q_stream_k_fixup<(ggml_type)14, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
0.0,189009,1,189009.0,189009.0,189009,189009,0.0,   8  256    1, 128    1    1,void cutlass::Kernel2<cutlass_75_tensorop_h1688gemm_128x128_tn_align1>(T1::Params)
0.0,184913,4,46228.3,46284.0,45821,46524,339.6,3072    1    1, 256    1    1,"void mul_mat_vec_f<__nv_bfloat16, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,162036,1,162036.0,162036.0,162036,162036,0.0,32768    1    1, 256    1    1,"upscale_f32(const float *, float *, int, int, int, int, int, int, int, int, float, float, float, float)"
0.0,146196,1,146196.0,146196.0,146196,146196,0.0,   1  128  128, 256    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.0,139318,8,17414.8,17375.0,17247,17631,135.7,   2 4096    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,119958,1,119958.0,119958.0,119958,119958,0.0,  16   32    1, 256    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_256x128_32x3_tn_align2>(T1::Params)
0.0,103160,4,25790.0,25822.0,25598,25918,138.3,6144    1    1, 256    1    1,"void convert_unary<__nv_bfloat16, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,79674,1,79674.0,79674.0,79674,79674,0.0,  32    8    1, 256    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_256x128_32x3_tn_align2>(T1::Params)
0.0,77306,1,77306.0,77306.0,77306,77306,0.0,15360    1    1, 256    1    1,"void concat_cont<unsigned int, (int)0>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
0.0,74106,1,74106.0,74106.0,74106,74106,0.0,   1  256  128, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,72987,2,36493.5,36493.5,36061,36926,611.6,   1   64  256,  64    2    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,72666,1,72666.0,72666.0,72666,72666,0.0,16384    1    1, 256    1    1,"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,66942,14,4781.6,4784.0,4575,4896,98.8,2048    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
0.0,62430,11,5675.5,5664.0,5568,5952,103.5, 512    5    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
0.0,51772,1,51772.0,51772.0,51772,51772,0.0,   8    4    1, 128    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x64_64x4_tn_align8>(T1::Params)
0.0,47357,1,47357.0,47357.0,47357,47357,0.0,10240    1    1, 256    1    1,"void concat_cont<unsigned int, (int)0>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
0.0,44414,54,822.5,832.0,800,864,16.0,   1    2    1,  16   16    1,"k_compute_batched_ptrs(const void *, const void *, char *, const void **, void **, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long)"
0.0,39645,1,39645.0,39645.0,39645,39645,0.0,   2   64   64, 256    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.0,33885,1,33885.0,33885.0,33885,33885,0.0,   1   64  256,  64    2    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,33692,4,8423.0,8463.0,8223,8543,153.2,3072    1    1, 128    1    1,"void mul_mat_vec_f<__nv_bfloat16, float, (int)1, (int)128, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,29373,1,29373.0,29373.0,29373,29373,0.0,16384    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
0.0,24798,1,24798.0,24798.0,24798,24798,0.0, 512   10    1, 256    1    1,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long long, long long, uint3, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)"
0.0,23774,2,11887.0,11887.0,11647,12127,339.4,  16  128    1,  32    8    1,"void cpy_scalar_transpose<float>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
0.0,21982,1,21982.0,21982.0,21982,21982,0.0,  32    4    1, 128    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_32x5_tn_align8>(T1::Params)
0.0,21148,4,5287.0,5279.0,5279,5311,16.0,1024    1    1, 256    1    1,"void concat_cont<unsigned int, (int)1>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
0.0,19360,4,4840.0,4832.0,4832,4864,16.0,1024    1    1, 256    1    1,"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,19263,4,4815.8,4815.5,4800,4832,18.2,1024    1    1, 256    1    1,"void convert_unary<__nv_bfloat16, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,19008,20,950.4,1024.0,768,1184,151.2,  12    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
0.0,13855,1,13855.0,13855.0,13855,13855,0.0,3072    1    1, 256    1    1,"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,9600,2,4800.0,4800.0,4800,4800,0.0,1024    1    1, 256    1    1,"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,8287,1,8287.0,8287.0,8287,8287,0.0,   1   64   64,  64    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.0,7007,1,7007.0,7007.0,7007,7007,0.0,   2  512    3, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,6144,2,3072.0,3072.0,3008,3136,90.5,   1   16   64,  32    4    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.0,5695,1,5695.0,5695.0,5695,5695,0.0,   1   64   64,  32    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.0,4896,1,4896.0,4896.0,4896,4896,0.0,  32    1    4,  32    8    1,"void cpy_scalar_transpose<float>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
0.0,4192,4,1048.0,1056.0,1024,1056,16.0,   1    1    1, 256    1    1,"scale_f32(const float *, float *, float, float, long long)"
0.0,3840,1,3840.0,3840.0,3840,3840,0.0,   1   32    4,  32    8    1,"void cpy_scalar_transpose<float>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
0.0,2912,4,728.0,736.0,704,736,16.0,   1    1    1, 256    1    1,"timestep_embedding_f32(const float *, float *, int, int, int)"
0.0,2816,1,2816.0,2816.0,2816,2816,0.0, 512    1    1, 256    1    1,"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.0,2624,1,2624.0,2624.0,2624,2624,0.0,  16   16    1, 128    1    1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_h161616gemm_32x32_64x1_tn_align8>(T1::Params)
0.0,2559,1,2559.0,2559.0,2559,2559,0.0,   8   16    1, 128    1    1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_h161616gemm_32x32_64x1_tn_align8>(T1::Params)
0.0,1920,1,1920.0,1920.0,1920,1920,0.0,   1   16   32,  32    4    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"

